ssp,nuc_type,pop,allele_frequency
LR,All,LR_Amatlan_de_Canas,1
LR,SS_WW,LR_Amatlan_de_Canas,1
LR,SW,LR_Amatlan_de_Canas,1
LR,WS,LR_Amatlan_de_Canas,1
LR,All,LR_Crucero_Lagunitas,1
LR,SS_WW,LR_Crucero_Lagunitas,1
LR,SW,LR_Crucero_Lagunitas,1
LR,WS,LR_Crucero_Lagunitas,1
LR,All,LR_Los_Guajes,1
LR,SS_WW,LR_Los_Guajes,1
LR,SW,LR_Los_Guajes,1
LR,WS,LR_Los_Guajes,1
LR,All,LR_Palmar_Chico,1
LR,SS_WW,LR_Palmar_Chico,1
LR,SW,LR_Palmar_Chico,1
LR,WS,LR_Palmar_Chico,1
LR,All,LR_random,1
LR,SS_WW,LR_random,1
LR,SW,LR_random,1
LR,WS,LR_random,1
LR,All,LR_random1_Palmar_Chico,1
LR,SS_WW,LR_random1_Palmar_Chico,1
LR,SW,LR_random1_Palmar_Chico,1
LR,WS,LR_random1_Palmar_Chico,1
LR,All,LR_random2_Palmar_Chico,1
LR,SS_WW,LR_random2_Palmar_Chico,1
LR,SW,LR_random2_Palmar_Chico,1
LR,WS,LR_random2_Palmar_Chico,1
LR,All,LR_San_Lorenzo,1
LR,SS_WW,LR_San_Lorenzo,1
LR,SW,LR_San_Lorenzo,1
LR,WS,LR_San_Lorenzo,1
Teo,All,Teo_Amatlan_de_Canas,1
Teo,SS_WW,Teo_Amatlan_de_Canas,1
Teo,SW,Teo_Amatlan_de_Canas,1
Teo,WS,Teo_Amatlan_de_Canas,1
Teo,All,Teo_Crucero_Lagunitas,1
Teo,SS_WW,Teo_Crucero_Lagunitas,1
Teo,SW,Teo_Crucero_Lagunitas,1
Teo,WS,Teo_Crucero_Lagunitas,1
Teo,All,Teo_El_Rodeo,1
Teo,SS_WW,Teo_El_Rodeo,1
Teo,SW,Teo_El_Rodeo,1
Teo,WS,Teo_El_Rodeo,1
Teo,All,Teo_Los_Guajes,1
Teo,SS_WW,Teo_Los_Guajes,1
Teo,SW,Teo_Los_Guajes,1
Teo,WS,Teo_Los_Guajes,1
Teo,All,Teo_Palmar_Chico,1
Teo,SS_WW,Teo_Palmar_Chico,1
Teo,SW,Teo_Palmar_Chico,1
Teo,WS,Teo_Palmar_Chico,1
Teo,All,Teo_random,1
Teo,SS_WW,Teo_random,1
Teo,SW,Teo_random,1
Teo,WS,Teo_random,1
Teo,All,Teo_random1_Palmar_Chico,1
Teo,SS_WW,Teo_random1_Palmar_Chico,1
Teo,SW,Teo_random1_Palmar_Chico,1
Teo,WS,Teo_random1_Palmar_Chico,1
Teo,All,Teo_random2_Palmar_Chico,1
Teo,SS_WW,Teo_random2_Palmar_Chico,1
Teo,SW,Teo_random2_Palmar_Chico,1
Teo,WS,Teo_random2_Palmar_Chico,1
Teo,All,Teo_San_Lorenzo,1
Teo,SS_WW,Teo_San_Lorenzo,1
Teo,SW,Teo_San_Lorenzo,1
Teo,WS,Teo_San_Lorenzo,1
